Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8849.998000000001,106199.98,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),#1# EC2-for-web,Amazon EC2 ,0,885.8879999999999,10630.66,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),#2#EC2-for-app,Amazon EC2 ,0,2385.6,28627.20,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (c5.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),#3# RDS-Primary,Amazon RDS for MySQL,0,734.84,8818.08,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Quantity (1), Instance type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),#4# RDS-replica,Amazon RDS for MySQL,0,734.84,8818.08,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Quantity (1), Instance type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),#5# VPC,Network Address Translation (NAT) Gateway,0,125.01,1500.12,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),#5# VPC,Data Transfer,0,112.4,1348.80,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: All other regions (500 GB per month), DT Intra-Region: (5 TB per month), Data transfer cost (112.4)"
My Estimate,US East (N. Virginia),#6# S3,S3 Standard,0,1170.38,14044.56,USD,S3 Standard storage (30 TB per month)
My Estimate,US East (N. Virginia),#6# S3,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (5 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)"
My Estimate,US East (N. Virginia),#7# Load Balancers,Application Load Balancer,0,1784.85,21418.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),#8# CloudFront,Amazon CloudFront,0,465.68,5588.16,USD,"Data transfer out to internet (5 TB per month), Data transfer out to origin (1 TB per month), Number of requests (HTTPS) (10 million per month)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,450.51,5406.12,USD,"Hosted Zones (1), Additional Records in Hosted Zones (10)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
